Sat, 21 Nov 15 21:47:11 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sat, 21 Nov 15 21:47:23 +0000 | parse_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sat, 21 Nov 15 21:50:17 +0000 | parse_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sat, 21 Nov 15 21:51:34 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sat, 21 Nov 15 21:53:23 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sat, 21 Nov 15 21:57:05 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sat, 21 Nov 15 22:02:41 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sat, 21 Nov 15 22:04:25 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sat, 21 Nov 15 22:12:12 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sat, 21 Nov 15 22:19:19 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sat, 21 Nov 15 22:19:29 +0000 | parse_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sun, 22 Nov 15 00:43:03 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to tweetview
Sun, 22 Nov 15 09:13:28 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x92\x80 h...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356468991594496, tweet_text = "RT @resolve: Obama said \"folks wanna pop off\" im screaming give this man a third term 💀 https://t.co/8fxB7d1ao6", created_at = "2015-11-22 09:12:54", geo_lat = 0, geo_long = 0, user_id = 2212047792, screen_name = "vcarrasco20", name = "wic", profile_image_url = "http://pbs.twimg.com/profile_images/667908086724620289/FjvmrnNM_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:13:36 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x91\x89\x0AO...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356504718708736, tweet_text = "Where have we heard this before\n👉\nObama says will not relent in fight against Islamic state, urges Russia help https://t.co/yItLUoE8k8 😎", created_at = "2015-11-22 09:13:02", geo_lat = 0, geo_long = 0, user_id = 17197378, screen_name = "Leopard212", name = "Lutyens\' Leopard", profile_image_url = "http://pbs.twimg.com/profile_images/666692028126748672/cLJQK8xi_normal.jpg", is_rt = 0
Sun, 22 Nov 15 09:13:39 +0000 | ./parse_tweets.php -> insert | Out of range value for column 'friends_count' at row 1 | INSERT INTO users SET screen_name = "Machma7Machos", profile_image_url = "http://pbs.twimg.com/profile_images/647855181422571521/bfiHg-cD_normal.jpg", user_id = 1685967536, name = "Michael Machos", location = "U.S.A.", url = "", description = "", created_at = "2013-08-20 14:44:44", followers_count = 3912, friends_count = -106, statuses_count = 22611, time_zone = "", last_update = "2015-11-22 09:13:06"
Sun, 22 Nov 15 09:13:39 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668356517159112704, url="http://www.theheraldng.com/from-michelle-obama-hugging-the-queen-and-lebron-james-sweaty-arm-around-princess-kate-here-are-the-most-famous-breaches-of-royal-protocol/?utm_source=dlvr.it&utm_medium=twitter"
Sun, 22 Nov 15 09:13:43 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x94\xA5\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356532443201536, tweet_text = "RT @OnlineMagazin: In Germany already sell these masks against #ISIS. 🔥🔥🔥👆 https://t.co/nR7za1lqwp", created_at = "2015-11-22 09:13:09", geo_lat = 0, geo_long = 0, user_id = 3155698426, screen_name = "Eye_for_Crypto", name = "E.F.C", profile_image_url = "http://pbs.twimg.com/profile_images/664509934541869056/HASC2XyD_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:13:45 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\xA5\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356543994200064, tweet_text = "RT @giftedteen: 2 white men were just caught entering a school 😥😓😓 school shooters maybe?? 😩😨  https://t.co/TYX0nYilYl", created_at = "2015-11-22 09:13:12", geo_lat = 0, geo_long = 0, user_id = 270064687, screen_name = "tybeautexo", name = "ty tíller", profile_image_url = "http://pbs.twimg.com/profile_images/666033354349789184/RFOL7TB-_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:13:58 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668356599157690368, url="http://www.desmoinesregister.com/story/news/elections/presidential/caucus/2015/11/20/cruz-obama-cant-have-our-god-our-guns-residential-family-forum/76078694/"
Sun, 22 Nov 15 09:14:09 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x98\x82\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356641927098368, tweet_text = "😂😂😂😂😂😂 im crying https://t.co/b7qqioYtUH", created_at = "2015-11-22 09:13:35", geo_lat = 0, geo_long = 0, user_id = 287237011, screen_name = "WahabAlJeemaz", name = "avenoir.", profile_image_url = "http://pbs.twimg.com/profile_images/662374906261319680/kHGOJkdo_normal.jpg", is_rt = 0
Sun, 22 Nov 15 09:14:13 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x92\x80 h...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356657659809792, tweet_text = "RT @resolve: Obama said \"folks wanna pop off\" im screaming give this man a third term 💀 https://t.co/8fxB7d1ao6", created_at = "2015-11-22 09:13:39", geo_lat = 0, geo_long = 0, user_id = 1453210374, screen_name = "TuNina_Lala", name = "уαdιdαℓαdιdα✨", profile_image_url = "http://pbs.twimg.com/profile_images/668241482956996608/yYhUrogx_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:14:20 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x99\x8A #...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356687175278592, tweet_text = "RT @adelmarocks: This little girl held up four fingers to say she was four years old and all I could think about was 0-4 🙊 #ElClasico", created_at = "2015-11-22 09:13:46", geo_lat = 0, geo_long = 0, user_id = 1900820760, screen_name = "pwesley4u", name = "Paulperry", profile_image_url = "http://pbs.twimg.com/profile_images/603567239552495617/eHrDI0Ax_normal.jpg", is_rt = 1
Sun, 22 Nov 15 09:14:28 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x92\x81\xF0\x9F...' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356723535708160, tweet_text = "Single or taken💁🏼👫, full name?😸, nickname?😼😽, IPh… — taken, gwn Isis Visser😂, Ies of Izzy, iPhone, 49%, len… https://t.co/3pRl79HZbt", created_at = "2015-11-22 09:13:55", geo_lat = 0, geo_long = 0, user_id = 2265477928, screen_name = "IsisIdek", name = "Unicorn❤️", profile_image_url = "http://pbs.twimg.com/profile_images/658773470008971264/n8-WjkQK_normal.jpg", is_rt = 0
Sun, 22 Nov 15 09:14:28 +0000 | ./parse_tweets.php -> insert | Data too long for column 'url' at row 1 | INSERT INTO tweet_urls SET tweet_id=668356723535708160, url="http://link.ask.fm/igoto/45DKECN75V62DDAUPY6IQO6K5SAC5GYCZXZ6VG5HDP4OVI7ISNZZEYCPE5B44QJSLDYLQS3OAAZH6EYD2547O35EPXZ2NA3SUQARRPSQA5TD6M75K6HDKLXLSCV3XTTCTSLY6EQ3ZHMHXE4LCCLAKX3U6XPUP7UKZ7SBPPSYVOYL4Y72D5UHRRX56ZV73NQ="
Sun, 22 Nov 15 09:14:30 +0000 | ./parse_tweets.php -> insert | Incorrect string value: '\xF0\x9F\x99\x8C' for column 'tweet_text' at row 1 | INSERT INTO tweets SET tweet_id = 668356730187739138, tweet_text = "barrack obama 🙌", created_at = "2015-11-22 09:13:56", geo_lat = 0, geo_long = 0, user_id = 3180113947, screen_name = "xjansyy", name = "A_A", profile_image_url = "http://pbs.twimg.com/profile_images/665450620585906176/Ps6mKoku_normal.jpg", is_rt = 0
